,data_time,site_name,nh3n_avg,tp_avg,do_avg,codcr_avg,codmn_avg,rainfall,next_rain
579,2019-08-12 04:00:00,鲁岗涌,0.33,0.159,8.7,,0.7,0.0,0.0
580,2019-08-12 08:00:00,鲁岗涌,0.35,0.171,8.78,,1.9,0.0,0.0
1250,2019-08-12 12:00:00,鲁岗涌,0.35,0.171,,,1.9,0.0,0.0
1059,2019-08-12 16:00:00,鲁岗涌,0.37,0.171,6.56,,12.7,0.0,0.0
195,2019-08-12 20:00:00,鲁岗涌,0.4,0.241,6.09,,5.1,0.0,0.0
960,2019-08-13 00:00:00,鲁岗涌,0.4,0.241,6.74,,0.5,0.0,0.0
196,2019-08-13 04:00:00,鲁岗涌,0.4,0.241,6.91,,0.5,0.0,0.0
1251,2019-08-13 08:00:00,鲁岗涌,0.4,0.241,1.29,,0.5,0.0,0.0
486,2019-08-13 12:00:00,鲁岗涌,,,1.29,,,0.0,0.0
865,2019-08-13 16:00:00,鲁岗涌,0.84,0.291,5.55,,8.7,0.0,
1060,2019-08-13 20:00:00,鲁岗涌,0.72,0.285,4.53,,7.0,,0.0
487,2019-08-14 00:00:00,鲁岗涌,0.99,0.634,5.42,,13.0,0.0,0.0
386,2019-08-14 04:00:00,鲁岗涌,0.6,0.167,4.78,,5.8,0.0,0.0
772,2019-08-14 08:00:00,鲁岗涌,0.62,0.191,4.6,,5.4,0.0,0.0
773,2019-08-14 12:00:00,鲁岗涌,0.62,0.191,5.61,,2.2,0.0,0.0
1252,2019-08-14 16:00:00,鲁岗涌,0.72,0.162,4.98,,5.5,0.0,0.0
774,2019-08-14 20:00:00,鲁岗涌,0.66,0.174,4.84,,5.6,0.0,0.0
1253,2019-08-15 00:00:00,鲁岗涌,0.74,0.207,5.24,,5.5,0.0,0.0
99,2019-08-15 04:00:00,鲁岗涌,0.64,0.26,5.66,,6.4,0.0,0.0
197,2019-08-15 08:00:00,鲁岗涌,0.65,0.198,4.92,,4.9,0.0,0.0
488,2019-08-15 12:00:00,鲁岗涌,,,3.76,,,0.0,0.0
581,2019-08-15 16:00:00,鲁岗涌,0.97,0.284,4.73,,7.7,0.0,0.0
1254,2019-08-15 20:00:00,鲁岗涌,0.76,0.22,4.47,,5.7,0.0,0.0
1156,2019-08-16 00:00:00,鲁岗涌,0.81,0.214,4.15,,6.0,0.0,0.0
582,2019-08-16 04:00:00,鲁岗涌,0.7,0.209,4.57,,5.5,0.0,0.0
291,2019-08-16 08:00:00,鲁岗涌,0.68,0.167,4.23,,4.5,0.0,0.0
866,2019-08-16 12:00:00,鲁岗涌,0.6,0.406,5.5,,7.8,0.0,0.0
775,2019-08-16 16:00:00,鲁岗涌,0.53,0.203,5.44,,4.1,0.0,0.0
4,2019-08-16 20:00:00,鲁岗涌,0.71,0.186,4.07,,4.9,0.0,0.0
198,2019-08-17 00:00:00,鲁岗涌,0.75,0.625,3.85,,6.2,0.0,0.0
776,2019-08-17 16:00:00,鲁岗涌,0.51,0.18,3.8,,4.5,0.0,0.0
1255,2019-08-17 20:00:00,鲁岗涌,0.51,0.18,3.74,,2.5,0.0,0.0
674,2019-08-18 00:00:00,鲁岗涌,0.51,0.18,3.9,,2.0,0.0,0.0
675,2019-08-18 04:00:00,鲁岗涌,0.51,0.18,3.2,,1.3,0.0,0.0
1061,2019-08-18 08:00:00,鲁岗涌,0.51,0.18,3.57,,1.4,0.0,0.0
